status,p_value,morans_test_statistic,morans_I,Locus,gene_short_name,q_value,Module
OK,2.391796483980991e-43,13.75453304127738,0.054152152696216434,AT1G01020,AT1G01020,7.73786701491308e-43,NA
OK,2.7001041698025637e-101,21.33477640092987,0.08412441781247279,AT1G01050,AT1G01050,1.31150984247746e-100,NA
OK,0,41.963918152056344,0.16561004925006148,AT1G01080,AT1G01080,0,NA
OK,0,53.02206619750615,0.20935563919693387,PDH-E1 ALPHA,PDH-E1 ALPHA,0,1
OK,8.279518620090797e-7,4.791437781514394,0.018464786090714565,AT1G01130,AT1G01130,1.4569662843997287e-6,NA
OK,0,38.18117294928496,0.15070523286577198,AT1G01140,AT1G01140,0,NA
OK,0,77.42230186459153,0.30557125837145255,AT1G01170,AT1G01170,0,2
OK,2.5257429071688402e-23,9.880628932282004,0.03885987935242636,AT1G01320,AT1G01320,6.363059466688915e-23,NA
OK,5.650709918250708e-243,33.26776119797023,0.13125863043965527,AT1G01340,AT1G01340,4.683112100498687e-242,NA
OK,0.561903157148738,-0.15579617502004567,-7.038615561179281e-4,AT1G01390,AT1G01390,0.6295706656634855,NA
OK,5.545035358187569e-9,5.713154804959523,0.021923949626643152,AT1G01453,AT1G01453,1.0471193683045192e-8,NA
OK,0,52.51603328719313,0.20735449524233837,AT1G01490,AT1G01490,0,3
OK,0.24003625796736366,0.7061859349838625,0.0025878149145446686,AT1G01640,AT1G01640,0.2919146766878362,NA
OK,5.142103371074396e-90,20.083520307097526,0.07899866182899246,AT1G01660,AT1G01660,2.3291039963309165e-89,NA
OK,7.768747035396626e-4,3.164452651583706,0.012261475648180191,AT1G01670,AT1G01670,0.0011912013779892705,NA
OK,0,118.64564734637216,0.4686026332513087,AT1G01680,AT1G01680,0,4
OK,2.9955073140158924e-84,19.413011926090455,0.07653104202393328,AT1G01725,AT1G01725,1.3200980284277829e-83,NA
OK,0.8555081158408628,-1.060353588197803,-0.00427939672149235,AT1G01740,AT1G01740,0.859377283374063,NA
OK,0.19885881758931068,0.8457044587457102,0.0030921114374462886,AT1G01760,AT1G01760,0.2449590920309589,NA
OK,0.017191113548011765,2.1155602322756604,0.007684417827611645,AT1G01880,AT1G01880,0.023888823012457254,NA
OK,4.661943598576315e-14,7.450143341619837,0.029236773545459456,AT1G01910,AT1G01910,9.991281228106713e-14,NA
OK,0.007183569146570459,2.447950523230413,0.009476896436727108,AT1G01930,AT1G01930,0.010284129930212672,NA
OK,3.040674656407333e-123,23.580700985288974,0.09299944430668981,AT1G01990,AT1G01990,1.6472231309388906e-122,NA
OK,0.003398484678359345,2.706631323779,0.010495052262008538,AT1G02020,AT1G02020,0.004995895166165796,NA
OK,0.04069255156765831,1.7427053129446046,0.006660718167435712,AT1G02050,AT1G02050,0.05459639867660779,NA
OK,0.21042972578685673,0.8049310808626755,0.002907285646988312,AT1G02060,AT1G02060,0.2582855669793675,NA
OK,1.4216843538078759e-98,21.03967214712574,0.08296113796945076,AT1G02130,AT1G02130,6.797376151122117e-98,NA
OK,3.8738728859256417e-109,22.163398391877863,0.08739296908390252,AT1G02140,AT1G02140,1.9587430121882302e-108,NA
OK,1.8491224289853458e-91,20.248017800781163,0.07964988975073062,AT1G02180,AT1G02180,8.434981177178859e-91,NA
OK,0.6373418531449329,-0.3513626574147174,-0.0014793200635958737,AT1G02250,AT1G02250,0.6733928453570749,NA
OK,0.04105574112244213,1.7385640069287067,0.006669241820534472,AT1G02260,AT1G02260,0.05504136671990267,NA
OK,1.5445367676267652e-154,26.45628561764038,0.10435874574943121,AT1G02280,AT1G02280,9.616748803939126e-154,NA
OK,0,42.507252372262776,0.16764053311520763,AT1G02310,AT1G02310,0,NA
OK,1.329638667291323e-171,27.90011805218411,0.11006735987418424,AT1G02330,AT1G02330,8.82284951636654e-171,NA
OK,6.577936241296038e-10,6.065481730955816,0.023709480570623973,AT1G02405,AT1G02405,1.2765062609002763e-9,NA
OK,1.3684159495492177e-9,5.9466515241393045,0.023024408889809212,AT1G02430,AT1G02430,2.6325305889280696e-9,NA
OK,5.275886475582313e-6,4.40554605507985,0.01714393568986647,AT1G02440,AT1G02440,9.0077189637615e-6,NA
OK,0,58.96141865992196,0.23282470310653477,AT1G02450,AT1G02450,0,3
OK,8.250499406566688e-57,15.83992787583825,0.06229845171110997,AT1G02470,AT1G02470,2.9845454767728355e-56,NA
OK,2.938427796855275e-26,10.536295333839242,0.04145170413658074,AT1G02475,AT1G02475,7.754554756185795e-26,NA
OK,1.5170962335804382e-182,28.787969350597294,0.11355410453040045,AT1G02610,AT1G02610,1.0405866136675258e-181,NA
OK,3.7430698962768637e-10,6.155456806072629,0.02407131868193616,AT1G02740,AT1G02740,7.309038019967738e-10,NA
OK,0.6893997936858823,-0.4941497674201878,-0.0020448134428295733,AT1G02770,AT1G02770,0.712375899142847,NA
OK,0.03164140353867126,1.857199282274278,0.007078566021030327,AT1G02820,AT1G02820,0.04291931885725162,NA
OK,2.0883122877974795e-65,17.039588137871057,0.0671505998265471,AT1G02870,AT1G02870,8.04504033671839e-65,NA
OK,0.038063198020120356,1.7736177717555657,0.006400857396794485,AT1G02900,AT1G02900,0.051220536132825546,NA
OK,1.6024084811235273e-92,20.368162074219615,0.0803051324897262,AT1G02910,AT1G02910,7.350740520242211e-92,NA
OK,0,85.16471808056676,0.336337647451481,AT1G02920,AT1G02920,0,5
OK,0,111.97457586299248,0.4423307264574002,AT1G02930,AT1G02930,0,5
OK,0.6514090026699326,-0.3891272793391554,-0.001620416230279172,AT1G02940,AT1G02940,0.6837611597023455,NA
OK,9.265661202749605e-11,6.373043558531337,0.024983624006942026,AT1G02960,AT1G02960,1.8455783018553592e-10,NA
OK,0.06877514700371823,1.48497557648295,0.005657054883333274,AT1G03000,AT1G03000,0.08999113065525084,NA
OK,0.5444044640841137,-0.11153631273490144,-5.384025329285195e-4,AT1G03020,AT1G03020,0.6188187339026271,NA
OK,1.0141119368810229e-75,18.376448005677982,0.07243153413985984,AT1G03040,AT1G03040,4.209443228317559e-75,NA
OK,1.1553629603732198e-4,3.682373437508968,0.014265754057236133,AT1G03055,AT1G03055,1.854409922995566e-4,NA
OK,3.6342925178304957e-12,6.852272648894931,0.026884909028782426,AT1G03080,AT1G03080,7.490554647851752e-12,NA
OK,0.2744597100515659,0.5993801361076662,0.0020952227180715214,AT1G03100,AT1G03100,0.33087928727819294,NA
FAIL,NA,NA,NA,AT1G03300,AT1G03300,1,NA
OK,1.2642419906151007e-208,30.801158565247864,0.1215359973480203,AT1G03330,AT1G03330,9.457428142899001e-208,NA
OK,0,45.44780066033666,0.17941946595337685,AT1G03400,AT1G03400,0,NA
OK,7.802256785785495e-4,3.1631999125306804,0.012284238007320895,AT1G03410,AT1G03410,0.0011959382280915644,NA
