Locus,logFC_proto,logCPM_proto,F_proto,PValue_proto,p_adj_proto,logFC_treat,logCPM_treat,F_treat,PValue_treat,p_adj_treat,de_type_treat,de_type_proto
AT1G01010,3.828745651518623,4.327737901591053,47.49447539748638,1.9878591510344786e-5,1.579677080502989e-4,1.3306347583790425,4.327737901591053,5.128076863866962,0.04356168689242666,0.09877254942170992,Not DE,Proto Up
AT1G01020,0.22160888190696054,3.6062457599968867,0.43310597579628735,0.5233107014807519,0.623709500575113,-0.25629131589850324,3.6062457599968867,0.8256862256913141,0.38200755050879276,0.5122443237786107,Not DE,Not DE
AT1G01030,4.883043049004345,6.041162464361999,330.4062656473707,6.93389300066614e-10,4.811421991792509e-8,0.02105061100798248,6.041162464361999,0.0058161308322502245,0.9405084708318244,0.9618199459696762,Not DE,Proto Up
AT1G01040,-0.6625294729062782,4.48349483040571,9.093903102484788,0.011120139883722078,0.029805784472069677,0.5554824647224785,4.48349483040571,10.291901744765743,0.007819978093994458,0.02708788839657755,Not DE,Proto Down
AT1G01050,-0.22380264081428547,5.5646406727762425,0.8078570355013746,0.3870251004206622,0.4951619251223774,-0.0843171330898329,5.5646406727762425,0.1641246786185587,0.6927559032627015,0.7870528453052029,Not DE,Not DE
AT1G01060,-1.5707702128188477,6.297842734634094,13.671794657753516,0.0032205217219464606,0.011051912905599844,-0.6866929355196788,6.297842734634094,4.345543945777178,0.059915388097640396,0.1264954746340553,Not DE,Proto Down
AT1G01070,-2.4627802237088803,1.715407224494475,7.025158206026487,0.021683908859275347,0.05114008252482978,-0.7672815378558904,1.715407224494475,1.9919977422596749,0.184378225418792,0.2977251724925349,Not DE,Not DE
AT1G01080,-0.2411201098443321,4.890991616066171,0.9683030552049178,0.3451765407367601,0.45349014519063485,-1.7648803787550567,4.890991616066171,74.15152369388353,2.2234356430900705e-6,1.1884774195414664e-4,Not DE,Not DE
AT1G01090,0.516484509322714,6.591059213390195,5.316593456016184,0.04046339973442034,0.08382495861169222,-0.6879349776413488,6.591059213390195,11.940285779946691,0.004984575470361272,0.019452704404524443,Not DE,Not DE
AT1G01100,-0.5462038911764961,7.864456071446348,6.280692687949506,0.028194467488470702,0.06305406707541342,-0.5908833345395721,7.864456071446348,10.48157194183605,0.007410934984838407,0.026016526691958825,Not DE,Not DE
AT1G01120,-3.442929755574223,6.1867628683642195,112.40036350185004,2.5649647947394997e-7,4.2358321451991715e-6,-1.7080544528393844,6.1867628683642195,60.524884376075896,6.144882122571903e-6,2.1222290380855063e-4,Not DE,Proto Down
AT1G01140,0.49903027453769483,6.102148122757827,6.404385033698827,0.02696587825001682,0.0608189712670351,-0.10838130396871361,6.102148122757827,0.388733571710848,0.5450262965584347,0.662958334123006,Not DE,Not DE
AT1G01160,-0.5110878989073533,4.115140474425183,3.6371425443652483,0.08155533028537405,0.1469067282500586,0.5717210926254331,4.115140474425183,7.211660435657582,0.020344503239669437,0.055024369838455135,Not DE,Not DE
AT1G01170,0.01804999089247479,5.788273326372154,0.00843686186143304,0.928381905152432,0.949728347821792,-0.43743268022395443,5.788273326372154,6.772202541978879,0.02367229764705647,0.06189988703665051,Not DE,Not DE
AT1G01180,0.378632921645404,3.90650430625348,1.2965379208282157,0.2778084824693139,0.3846299958720557,-0.04599404227215261,3.90650430625348,0.026409228348263404,0.8737003963528612,0.9174915581832511,Not DE,Not DE
AT1G01210,-1.0409503627387058,2.1804370927316072,4.259031292146624,0.06214746000517969,0.11794061315999915,0.2516418248351673,2.1804370927316072,0.48442866144936697,0.5001262479392974,0.6240542565848182,Not DE,Not DE
AT1G01220,-0.4208977073737138,3.3486620003642007,1.8337073830084636,0.20147351700627084,0.2996837010903675,-0.7602172828844317,3.3486620003642007,9.71817386899241,0.009230077575898568,0.030670966984734777,Not DE,Not DE
AT1G01230,0.8944782978613567,5.4037078263216065,23.344844817807836,4.518300365036846e-4,0.0021871465479011954,0.3924757509540279,5.4037078263216065,5.55075967273604,0.036975199853527554,0.08739435127879865,Not DE,Proto Up
AT1G01240,-0.7790623842749204,5.618772114443855,10.08474261677407,0.008297603276432636,0.023589145792632302,-0.030315750548083394,5.618772114443855,0.02337000686925146,0.8811247807970055,0.9229175016698726,Not DE,Proto Down
AT1G01250,-7.10529191409225,2.489694036629081,32.701713934570755,1.546708477545527e-4,8.967826423852505e-4,-0.6270217214057204,2.489694036629081,2.421496702151622,0.14900076723876846,0.25206157526513645,Not DE,Proto Down
AT1G01260,2.49488428536805,4.237467865101409,83.76386945863808,1.1925279226924758e-6,1.4945625423835197e-5,0.5243111712067651,4.237467865101409,3.775816974453258,0.0766511692194674,0.15254824171355194,Not DE,Proto Up
AT1G01290,-1.2129789609079653,3.125415485918874,9.070781918054397,0.011198517959545446,0.029971688105811033,-0.10690296681475833,3.125415485918874,0.1379426855742722,0.7170273180284458,0.8060045561501379,Not DE,Proto Down
AT1G01300,-1.384405965815157,3.1696041291713652,10.656216021575494,0.007056483492616732,0.02076720346163683,-0.2515531869700946,3.1696041291713652,0.7100286472575894,0.4164642872027374,0.5469573947313604,Not DE,Proto Down
AT1G01320,0.13060579771079744,8.046209161763638,0.48774891467506326,0.49869053824719767,0.6024831700395623,-0.8160705648634778,8.046209161763638,24.83621492624806,3.516729381397209e-4,0.0029261587102527823,Not DE,Not DE
AT1G01340,2.750428750904738,3.1026384618676537,26.557481513586087,2.66786683117543e-4,0.001401688043165389,2.4456649675050883,3.1026384618676537,19.526252530676793,9.068156630263526e-4,0.0056357438515199825,DC3000 Up,Proto Up
